shipment_id,order_id,warehouse_city,customer_city,shipment_date,delivery_date,shipment_status,transport_cost,weight_kg,distance_km,fuel_cost,driver_id,vehicle_type
100661,500661,Chennai,Kolkata,2025-11-30,2025-12-06,Delivered,2584,34,501,1880,1031,Container
100662,500662,Mumbai,Ahmedabad,2025-08-14,2025-08-24,Delivered,6030,67,272,896,1079,Container
100663,500663,Mumbai,Ahmedabad,2026-01-18,2026-01-22,Delivered,5865,85,1518,5483,1017,Truck
100664,500664,Pune,Kolkata,2025-03-03,2025-03-05,Delivered,10602,114,1956,9389,1098,Van
100665,500665,Mumbai,Hyderabad,2025-06-10,2025-06-20,Delayed,12960,120,746,5845,1030,Truck
100666,500666,Hyderabad,Lucknow,2026-05-16,,In Transit,3040,32,2473,17566,1036,Truck
100667,500667,Pune,Ahmedabad,2025-09-10,2025-09-17,Delivered,8690,79,960,7396,1074,Truck
100668,500668,Hyderabad,Delhi,2025-02-11,,Cancelled,3822,98,2115,10239,1051,Container
100669,500669,Pune,Mumbai,2026-04-09,2026-04-11,Delivered,9348,76,100,652,1028,Mini Truck
100670,500670,Bangalore,Hyderabad,2025-09-02,2025-09-04,Delivered,840,7,2015,8415,1091,Container
100671,500671,Chennai,Kolkata,2025-01-25,,Cancelled,8000,64,617,2918,1048,Container
100672,500672,Pune,Delhi,2025-03-14,2025-03-20,Delivered,5184,72,183,886,1035,Mini Truck
100673,500673,Pune,Mumbai,2025-12-10,2025-12-11,Delayed,2870,70,1540,4789,1047,Container
100674,500674,Chennai,Delhi,2026-01-10,2026-01-19,Delivered,10070,95,324,2074,1027,Mini Truck
100675,500675,Bangalore,Bangalore,2025-04-27,2025-05-07,Delivered,15196,116,909,5997,1029,Van
100676,500676,Bangalore,Hyderabad,2026-05-31,2026-06-05,Delivered,902,11,309,1359,1063,Truck
100677,500677,Hyderabad,Lucknow,2025-10-27,2025-11-02,Delivered,6313,107,318,2354,1059,Truck
100678,500678,Delhi,Ahmedabad,2025-07-03,2025-07-05,Delivered,1260,18,724,2256,1019,Container
100679,500679,Mumbai,Bangalore,2026-06-18,,Cancelled,616,7,1250,9790,1070,Mini Truck
100680,500680,Hyderabad,Chennai,2026-03-07,2026-03-08,Delivered,1806,42,824,2159,1030,Van
100681,500681,Hyderabad,Kolkata,2025-12-18,2025-12-24,Delivered,8040,67,2480,15705,1071,Container
100682,500682,Hyderabad,Hyderabad,2025-05-16,,In Transit,5984,44,753,2959,1062,Van
100683,500683,Bangalore,Delhi,2025-06-01,2025-06-09,Delivered,1430,26,2583,16569,1037,Mini Truck
100684,500684,Mumbai,Pune,2025-06-15,2025-06-16,Delivered,2295,45,2403,11834,1048,Mini Truck
100685,500685,Mumbai,Lucknow,2025-02-05,2025-02-11,Delivered,2116,23,1577,8625,1021,Van
100686,500686,Delhi,Delhi,2026-02-19,,In Transit,9579,103,645,4903,1020,Truck
100687,500687,Pune,Lucknow,2026-06-04,2026-06-09,Delivered,8515,65,1237,9764,1074,Mini Truck
100688,500688,Chennai,Jaipur,2025-12-13,2025-12-21,Delivered,6240,120,214,1333,1015,Van
100689,500689,Delhi,Ahmedabad,2025-08-14,2025-08-16,Delivered,5152,46,275,1657,1075,Mini Truck
100690,500690,Bangalore,Bangalore,2025-01-24,2025-02-01,Delivered,4186,91,2800,22027,1051,Mini Truck
100691,500691,Hyderabad,Chennai,2026-06-08,,In Transit,7650,90,1528,5063,1055,Van
100692,500692,Hyderabad,Chennai,2025-01-13,2025-01-19,Delivered,4664,44,1875,5590,1094,Container
100693,500693,Pune,Ahmedabad,2026-03-30,2026-04-06,Delivered,5096,98,1746,12388,1077,Truck
100694,500694,Mumbai,Bangalore,2025-11-07,2025-11-16,Delivered,5170,47,320,2130,1012,Truck
100695,500695,Hyderabad,Hyderabad,2026-03-01,2026-03-09,Delivered,12445,95,2376,17895,1026,Mini Truck
100696,500696,Hyderabad,Hyderabad,2026-05-18,2026-05-23,Delivered,8103,111,2447,12767,1095,Container
100697,500697,Mumbai,Delhi,2025-01-03,2025-01-08,Delivered,8170,86,2657,8457,1086,Van
100698,500698,Hyderabad,Pune,2026-05-19,,In Transit,3306,87,1052,3320,1036,Container
100699,500699,Delhi,Kolkata,2026-01-06,2026-01-16,Delivered,6900,60,1106,6937,1089,Truck
100700,500700,Bangalore,Lucknow,2025-01-18,,In Transit,1050,25,2432,8034,1060,Mini Truck
100701,500701,Bangalore,Pune,2025-02-24,2025-03-03,Delivered,3526,86,1508,6174,1068,Truck
100702,500702,Chennai,Bangalore,2025-07-07,2025-07-17,Delayed,10504,101,734,3137,1041,Van
100703,500703,Bangalore,Chennai,2025-04-09,2025-04-15,Delivered,3960,110,638,2075,1037,Van
100704,500704,Hyderabad,Ahmedabad,2025-12-15,,In Transit,1550,25,469,1571,1029,Mini Truck
100705,500705,Chennai,Kolkata,2026-06-23,,In Transit,11904,96,2307,15363,1015,Container
100706,500706,Hyderabad,Mumbai,2025-04-30,2025-05-01,Delayed,4884,66,1476,9299,1018,Container
100707,500707,Chennai,Lucknow,2025-12-17,2025-12-22,Delivered,504,8,535,1716,1089,Mini Truck
100708,500708,Pune,Bangalore,2025-11-11,2025-11-14,Delivered,1845,15,1790,11986,1015,Truck
100709,500709,Delhi,Jaipur,2026-03-18,2026-03-20,Delivered,900,9,2752,15858,1061,Truck
100710,500710,Bangalore,Delhi,2025-03-09,2025-03-10,Delivered,13635,101,445,1415,1078,Mini Truck
100711,500711,Chennai,Bangalore,2025-07-09,2025-07-10,Delivered,2080,16,646,4961,1075,Van
100712,500712,Bangalore,Pune,2026-05-28,2026-06-07,Delayed,3745,35,2118,6091,1075,Truck
100713,500713,Chennai,Bangalore,2025-07-16,,Cancelled,910,26,2250,17673,1013,Mini Truck
100714,500714,Chennai,Jaipur,2026-01-11,2026-01-14,Delivered,3538,61,489,3467,1049,Container
100715,500715,Mumbai,Lucknow,2025-08-22,2025-08-28,Delivered,980,20,1958,10491,1064,Van
100716,500716,Pune,Hyderabad,2025-02-11,2025-02-19,Delivered,1349,19,1626,8151,1095,Van
100717,500717,Pune,Jaipur,2025-08-20,2025-08-25,Delivered,6726,114,1802,12996,1061,Van
100718,500718,Mumbai,Delhi,2026-05-19,2026-05-26,Delivered,7259,61,2190,13623,1016,Mini Truck
100719,500719,Hyderabad,Ahmedabad,2025-04-15,2025-04-18,Delayed,780,13,1539,6713,1077,Container
100720,500720,Delhi,Bangalore,2026-03-11,2026-03-16,Delayed,11220,102,2433,9735,1083,Container
100721,500721,Bangalore,Jaipur,2026-02-19,,Cancelled,3710,70,1192,8015,1014,Truck
100722,500722,Bangalore,Jaipur,2026-05-25,2026-05-28,Delivered,1032,8,457,1275,1009,Container
100723,500723,Pune,Delhi,2025-07-03,2025-07-09,Delivered,2736,24,1290,7646,1098,Truck
100724,500724,Pune,Lucknow,2026-05-20,2026-05-24,Delayed,4116,42,2761,14347,1034,Van
100725,500725,Chennai,Lucknow,2025-01-19,,Cancelled,450,9,1812,8353,1041,Container
100726,500726,Hyderabad,Jaipur,2025-02-06,2025-02-15,Delivered,11125,89,1291,4393,1056,Mini Truck
100727,500727,Bangalore,Ahmedabad,2026-05-15,2026-05-25,Delayed,10829,91,2059,11418,1070,Container
100728,500728,Hyderabad,Lucknow,2025-06-10,2025-06-17,Delivered,4180,38,2076,16275,1079,Van
100729,500729,Bangalore,Chennai,2025-03-04,2025-03-05,Delivered,1659,21,1550,10776,1075,Truck
100730,500730,Pune,Chennai,2026-01-25,2026-01-31,Delivered,3950,50,1737,4881,1032,Mini Truck
100731,500731,Mumbai,Hyderabad,2025-03-28,,In Transit,637,13,1298,5655,1003,Van
100732,500732,Delhi,Jaipur,2026-03-09,2026-03-16,Delivered,4836,39,133,676,1003,Van
100733,500733,Hyderabad,Kolkata,2026-02-04,2026-02-06,Delivered,5076,108,2050,12914,1027,Van
100734,500734,Hyderabad,Lucknow,2025-12-14,2025-12-19,Delivered,3060,51,1835,9602,1010,Mini Truck
100735,500735,Bangalore,Hyderabad,2025-02-18,2025-02-28,Delivered,6384,56,975,6421,1012,Truck
100736,500736,Chennai,Chennai,2025-10-07,2025-10-16,Delivered,3965,65,1799,7934,1010,Van
100737,500737,Chennai,Hyderabad,2026-03-20,2026-03-26,Delivered,2580,30,1747,6781,1066,Container
100738,500738,Pune,Lucknow,2025-07-04,,In Transit,4930,85,2164,12275,1028,Container
100739,500739,Bangalore,Lucknow,2026-03-21,,In Transit,4116,98,2617,14059,1047,Container
100740,500740,Mumbai,Bangalore,2025-06-04,2025-06-09,Delayed,9831,113,1833,7795,1009,Mini Truck
100741,500741,Hyderabad,Hyderabad,2025-10-21,2025-10-26,Delivered,5980,92,2512,11887,1015,Mini Truck
100742,500742,Mumbai,Delhi,2025-09-09,2025-09-14,Delayed,6784,64,2038,16206,1055,Truck
100743,500743,Mumbai,Pune,2025-10-07,2025-10-12,Delivered,12614,106,1187,6562,1083,Truck
100744,500744,Pune,Jaipur,2025-01-21,2025-01-23,Delivered,3285,45,2514,18275,1053,Van
100745,500745,Pune,Mumbai,2026-02-11,,In Transit,6305,97,625,1947,1095,Truck
100746,500746,Chennai,Kolkata,2026-06-22,2026-06-24,Delivered,1750,35,2506,16921,1041,Van
100747,500747,Chennai,Ahmedabad,2025-08-30,,In Transit,1536,32,640,2216,1036,Container
100748,500748,Hyderabad,Hyderabad,2025-02-27,2025-03-05,Delivered,7050,94,512,2816,1061,Mini Truck
100749,500749,Bangalore,Pune,2026-01-07,2026-01-13,Delivered,4070,110,1312,7937,1078,Truck
100750,500750,Pune,Delhi,2025-09-03,2025-09-10,Delivered,5456,44,2667,11990,1088,Truck
100751,500751,Chennai,Bangalore,2026-03-30,2026-04-06,Delivered,1702,37,1282,9807,1097,Mini Truck
100752,500752,Bangalore,Bangalore,2025-06-14,,In Transit,11730,85,1349,9061,1053,Truck
100753,500753,Bangalore,Mumbai,2026-05-19,2026-05-26,Delivered,14112,112,1412,6810,1013,Mini Truck
100754,500754,Pune,Hyderabad,2026-06-03,2026-06-10,Delivered,10578,82,2293,9853,1089,Truck
100755,500755,Delhi,Pune,2026-03-31,2026-04-03,Delayed,300,5,1691,10070,1041,Truck
100756,500756,Delhi,Pune,2025-09-13,2025-09-16,Delivered,13786,113,2483,11810,1041,Container
100757,500757,Hyderabad,Pune,2025-09-24,2025-10-04,Delivered,15070,110,1391,5633,1011,Container
100758,500758,Bangalore,Pune,2026-02-07,,In Transit,6993,111,2386,6237,1003,Mini Truck
100759,500759,Delhi,Jaipur,2025-07-23,2025-07-26,Delivered,1254,11,1692,8221,1034,Mini Truck
100760,500760,Delhi,Chennai,2025-06-24,,In Transit,2520,20,107,576,1099,Container
100761,500761,Pune,Jaipur,2025-05-02,2025-05-06,Delivered,2059,29,1140,7530,1049,Mini Truck
100762,500762,Hyderabad,Bangalore,2025-08-09,,Cancelled,3608,41,825,2880,1019,Truck
100763,500763,Bangalore,Hyderabad,2025-08-30,2025-09-03,Delivered,6344,52,2437,14767,1011,Truck
100764,500764,Hyderabad,Pune,2025-11-28,,Cancelled,6930,55,919,4235,1055,Van
100765,500765,Delhi,Mumbai,2025-03-02,2025-03-06,Delivered,7280,65,1501,11507,1077,Truck
100766,500766,Delhi,Hyderabad,2026-06-01,2026-06-06,Delivered,4510,55,2799,9033,1072,Truck
100767,500767,Chennai,Pune,2025-09-24,2025-10-02,Delivered,2448,48,1967,5887,1091,Container
100768,500768,Mumbai,Hyderabad,2025-04-30,2025-05-03,Delivered,8840,68,1200,5379,1056,Van
100769,500769,Bangalore,Kolkata,2025-09-28,2025-10-05,Delivered,8925,119,725,4750,1063,Mini Truck
100770,500770,Chennai,Jaipur,2025-02-24,2025-02-25,Delivered,1326,34,800,4069,1021,Container
100771,500771,Hyderabad,Mumbai,2026-05-22,2026-05-28,Delivered,9215,95,2347,11776,1015,Mini Truck
100772,500772,Delhi,Chennai,2025-04-06,2025-04-11,Delivered,3640,28,739,3915,1035,Mini Truck
100773,500773,Chennai,Delhi,2026-06-23,2026-06-26,Delayed,3828,58,364,2448,1087,Truck
100774,500774,Bangalore,Delhi,2025-10-19,2025-10-21,Delivered,6050,55,1580,12024,1014,Van
100775,500775,Mumbai,Delhi,2025-03-25,2025-04-02,Delivered,4347,63,2623,15129,1001,Van
100776,500776,Delhi,Kolkata,2026-04-09,2026-04-19,Delivered,861,21,915,6321,1037,Van
100777,500777,Delhi,Mumbai,2026-01-26,2026-01-31,Delivered,3591,27,1033,7499,1012,Truck
100778,500778,Mumbai,Pune,2026-02-02,2026-02-07,Delayed,4698,87,2729,8632,1063,Container
100779,500779,Pune,Hyderabad,2025-05-15,2025-05-17,Delivered,11100,111,1555,5596,1058,Container
100780,500780,Hyderabad,Hyderabad,2026-03-10,2026-03-17,Delivered,12204,108,1558,5491,1081,Container
100781,500781,Delhi,Delhi,2026-06-10,2026-06-18,Delivered,10647,91,968,6073,1020,Container
100782,500782,Chennai,Lucknow,2025-03-27,2025-04-03,Delivered,1095,15,2006,6654,1017,Van
100783,500783,Mumbai,Lucknow,2026-03-14,2026-03-15,Delivered,3000,75,363,1932,1066,Container
100784,500784,Hyderabad,Mumbai,2026-04-21,2026-05-01,Delivered,8720,109,1087,4241,1011,Truck
100785,500785,Delhi,Jaipur,2025-07-03,2025-07-10,Delayed,880,10,391,2862,1039,Van
100786,500786,Chennai,Jaipur,2026-04-06,2026-04-11,Delivered,2976,48,816,2870,1096,Van
100787,500787,Pune,Mumbai,2026-03-21,2026-03-22,Delivered,1980,55,527,1815,1062,Container
100788,500788,Pune,Ahmedabad,2026-05-14,2026-05-24,Delivered,6987,51,1667,6942,1017,Mini Truck
100789,500789,Delhi,Bangalore,2025-04-25,2025-04-29,Delayed,6954,114,159,818,1019,Mini Truck
100790,500790,Hyderabad,Lucknow,2025-07-15,2025-07-23,Delivered,2047,23,1991,5216,1022,Mini Truck
100791,500791,Pune,Jaipur,2026-05-12,2026-05-20,Delivered,4740,79,1043,4298,1051,Truck
100792,500792,Bangalore,Delhi,2025-04-16,2025-04-23,Delivered,7482,58,2080,11819,1094,Van
100793,500793,Delhi,Jaipur,2026-02-14,2026-02-24,Delivered,11737,97,2554,19098,1063,Mini Truck
100794,500794,Pune,Delhi,2026-06-25,2026-07-05,Delivered,1935,45,2316,9201,1083,Container
100795,500795,Hyderabad,Mumbai,2026-05-22,2026-05-28,Delivered,2294,62,1836,6219,1093,Mini Truck
100796,500796,Hyderabad,Chennai,2026-03-25,2026-03-29,Delivered,8960,80,1439,10352,1092,Container
100797,500797,Mumbai,Hyderabad,2026-02-04,,Cancelled,14319,111,2722,12198,1061,Mini Truck
100798,500798,Chennai,Bangalore,2025-10-17,2025-10-19,Delivered,4590,90,2027,6999,1021,Container
100799,500799,Delhi,Ahmedabad,2026-05-21,2026-05-25,Delivered,2812,76,242,1082,1034,Van
100800,500800,Pune,Pune,2025-06-28,,In Transit,4641,119,2112,14651,1044,Container
100801,500801,Delhi,Kolkata,2025-08-21,2025-08-25,Delivered,5226,67,1106,7539,1099,Truck
100802,500802,Chennai,Hyderabad,2025-06-04,,In Transit,12992,116,2161,13359,1091,Truck
100803,500803,Hyderabad,Jaipur,2025-04-24,,Cancelled,11865,105,2550,17344,1014,Truck
100804,500804,Chennai,Mumbai,2025-06-21,2025-06-25,Delivered,6528,51,693,2845,1057,Container
100805,500805,Pune,Mumbai,2025-06-07,2025-06-13,Delivered,5450,109,614,4400,1057,Container
100806,500806,Delhi,Bangalore,2026-05-01,2026-05-10,Delivered,1794,26,399,1814,1097,Container
100807,500807,Bangalore,Bangalore,2025-06-05,2025-06-14,Delayed,3016,58,984,6799,1053,Container
100808,500808,Hyderabad,Lucknow,2026-01-06,,In Transit,8113,61,646,1650,1067,Truck
100809,500809,Delhi,Chennai,2025-11-19,2025-11-22,Delivered,5100,60,301,2009,1085,Mini Truck
100810,500810,Chennai,Delhi,2026-06-17,,Cancelled,7076,58,1696,10776,1039,Van
100811,500811,Bangalore,Delhi,2025-10-14,,In Transit,10292,83,651,3073,1083,Mini Truck
100812,500812,Chennai,Kolkata,2026-03-29,2026-04-05,Delivered,7592,104,858,2542,1069,Van
100813,500813,Hyderabad,Pune,2026-06-17,,Cancelled,1886,41,925,4915,1040,Van
100814,500814,Pune,Pune,2025-01-24,2025-02-02,Delivered,5200,80,1109,7848,1039,Container
100815,500815,Chennai,Mumbai,2025-03-03,,In Transit,3762,38,2618,11649,1007,Truck
100816,500816,Hyderabad,Hyderabad,2025-01-06,2025-01-10,Delivered,11556,108,2432,15639,1081,Mini Truck
100817,500817,Bangalore,Hyderabad,2025-10-19,2025-10-29,Delivered,11466,91,623,2851,1095,Mini Truck
100818,500818,Delhi,Chennai,2026-06-13,2026-06-19,Delivered,3339,63,451,2892,1053,Truck
100819,500819,Delhi,Delhi,2026-03-12,,In Transit,5980,65,929,2721,1087,Container
100820,500820,Chennai,Lucknow,2026-06-16,2026-06-21,Delayed,9164,79,2093,10106,1057,Container
100821,500821,Pune,Ahmedabad,2025-06-16,2025-06-19,Delivered,3417,67,1924,15053,1066,Truck
100822,500822,Pune,Bangalore,2026-04-12,2026-04-15,Delivered,3800,76,1562,9073,1053,Truck
100823,500823,Delhi,Chennai,2025-10-24,2025-10-27,Delivered,1480,20,1571,12490,1039,Van
100824,500824,Hyderabad,Delhi,2025-05-27,2025-06-06,Delivered,4292,58,249,1840,1028,Mini Truck
100825,500825,Pune,Jaipur,2025-01-03,2025-01-09,Delivered,1144,13,233,1199,1040,Container
100826,500826,Bangalore,Ahmedabad,2026-05-02,,In Transit,5661,111,2530,16927,1065,Container
100827,500827,Hyderabad,Jaipur,2025-06-02,,In Transit,6302,46,415,2463,1080,Container
100828,500828,Hyderabad,Bangalore,2026-02-09,2026-02-10,Delivered,11610,90,1864,7503,1012,Mini Truck
100829,500829,Pune,Delhi,2025-11-13,2025-11-15,Delivered,3915,87,2341,8330,1080,Truck
100830,500830,Chennai,Lucknow,2025-07-13,2025-07-22,Delayed,5950,119,126,771,1069,Mini Truck
100831,500831,Delhi,Hyderabad,2025-07-30,2025-08-09,Delivered,8418,61,396,2152,1042,Container
100832,500832,Chennai,Delhi,2026-05-19,,In Transit,630,7,1442,5036,1004,Van
100833,500833,Hyderabad,Hyderabad,2025-04-04,2025-04-06,Delivered,5254,74,738,2429,1033,Truck
100834,500834,Mumbai,Hyderabad,2026-02-22,2026-02-23,Delivered,4814,83,1382,3661,1008,Van
100835,500835,Hyderabad,Mumbai,2025-11-24,2025-11-30,Delivered,5320,38,1588,11826,1007,Mini Truck
100836,500836,Mumbai,Kolkata,2025-08-31,2025-09-09,Delivered,3726,54,521,1476,1060,Container
100837,500837,Delhi,Jaipur,2025-01-30,2025-02-03,Delivered,8142,118,126,698,1076,Truck
100838,500838,Mumbai,Lucknow,2025-05-09,2025-05-16,Delivered,7192,62,393,2064,1019,Van
100839,500839,Chennai,Pune,2025-09-09,2025-09-16,Delivered,3040,76,1900,4760,1060,Van
100840,500840,Pune,Pune,2025-01-01,2025-01-09,Delivered,2613,39,2498,17778,1049,Van
100841,500841,Pune,Bangalore,2026-06-07,2026-06-10,Delivered,10593,99,2237,6452,1012,Container
100842,500842,Pune,Mumbai,2025-05-24,2025-05-29,Delayed,7137,117,1819,10654,1041,Van
100843,500843,Pune,Hyderabad,2026-04-09,2026-04-15,Delivered,4464,48,912,7090,1043,Truck
100844,500844,Pune,Pune,2025-01-03,2025-01-04,Delivered,14520,120,89,307,1072,Container
100845,500845,Hyderabad,Lucknow,2025-03-25,2025-03-27,Delayed,10147,73,176,1090,1087,Truck
100846,500846,Bangalore,Ahmedabad,2026-01-02,2026-01-03,Delivered,1640,20,1945,14878,1057,Truck
100847,500847,Mumbai,Delhi,2025-10-15,2025-10-21,Delivered,4031,29,418,2455,1039,Mini Truck
100848,500848,Mumbai,Jaipur,2026-01-07,2026-01-15,Delivered,7320,120,2532,6429,1082,Container
100849,500849,Delhi,Hyderabad,2026-05-28,2026-06-06,Delivered,3741,29,2752,15442,1088,Mini Truck
100850,500850,Delhi,Kolkata,2025-05-12,2025-05-15,Delayed,2432,38,2384,17511,1094,Van
100851,500851,Mumbai,Delhi,2025-09-16,2025-09-24,Delivered,585,5,1799,11157,1084,Truck
100852,500852,Bangalore,Ahmedabad,2026-02-21,2026-03-02,Delivered,5184,64,2079,11112,1006,Mini Truck
100853,500853,Delhi,Hyderabad,2026-03-07,2026-03-13,Delivered,295,5,1655,7184,1074,Truck
100854,500854,Pune,Bangalore,2026-03-10,,Cancelled,2016,36,856,3689,1009,Truck
100855,500855,Delhi,Jaipur,2026-03-19,2026-03-29,Delayed,8239,107,2615,18626,1032,Truck
100856,500856,Hyderabad,Bangalore,2025-12-15,,In Transit,11110,110,1416,9724,1010,Container
100857,500857,Delhi,Jaipur,2025-05-08,2025-05-09,Delivered,675,9,1595,11795,1089,Truck
100858,500858,Mumbai,Delhi,2026-03-29,2026-04-08,Delivered,3655,85,1818,5563,1008,Truck
100859,500859,Bangalore,Ahmedabad,2026-02-16,2026-02-23,Delivered,4590,34,2505,15351,1002,Container
100860,500860,Hyderabad,Jaipur,2026-03-15,,In Transit,6552,84,464,2821,1087,Truck
100861,500861,Hyderabad,Lucknow,2025-12-03,2025-12-05,Delivered,1998,18,100,642,1076,Mini Truck
100862,500862,Chennai,Pune,2026-06-06,2026-06-13,Delivered,6006,66,2593,9134,1018,Truck
100863,500863,Delhi,Pune,2025-11-16,2025-11-25,Delivered,6512,88,1515,8650,1070,Mini Truck
100864,500864,Mumbai,Jaipur,2025-11-13,2025-11-18,Delivered,5252,52,83,475,1087,Mini Truck
100865,500865,Delhi,Bangalore,2026-06-04,2026-06-13,Delayed,10146,114,273,1198,1026,Mini Truck
100866,500866,Delhi,Chennai,2025-07-13,2025-07-21,Delivered,8829,81,1406,7892,1043,Van
100867,500867,Hyderabad,Chennai,2025-06-16,2025-06-17,Delivered,2380,68,948,5700,1089,Mini Truck
100868,500868,Hyderabad,Kolkata,2025-08-07,2025-08-13,Delivered,6588,108,1589,7471,1001,Van
100869,500869,Delhi,Mumbai,2026-01-02,2026-01-04,Delivered,2093,23,1240,4425,1075,Van
100870,500870,Delhi,Delhi,2025-07-23,2025-07-26,Delivered,4191,33,1123,3883,1071,Mini Truck
100871,500871,Mumbai,Bangalore,2025-01-23,2025-01-28,Delivered,2057,17,135,439,1084,Truck
100872,500872,Bangalore,Bangalore,2025-11-09,2025-11-15,Delivered,12852,108,1575,5421,1068,Container
100873,500873,Pune,Mumbai,2025-05-02,2025-05-05,Delivered,6254,106,826,4484,1089,Van
100874,500874,Bangalore,Kolkata,2026-03-16,,Cancelled,4752,36,239,1407,1025,Van
100875,500875,Mumbai,Chennai,2025-09-11,2025-09-16,Delivered,11600,116,567,4437,1063,Mini Truck
100876,500876,Pune,Mumbai,2026-04-27,2026-05-07,Delayed,1300,13,735,3406,1083,Van
100877,500877,Hyderabad,Lucknow,2026-04-21,2026-04-27,Delivered,9072,72,2029,15738,1061,Van
100878,500878,Chennai,Ahmedabad,2025-02-07,2025-02-11,Delivered,5270,62,1010,3739,1055,Container
100879,500879,Chennai,Pune,2026-01-19,2026-01-21,Delivered,1584,22,394,1948,1046,Mini Truck
100880,500880,Chennai,Delhi,2026-04-22,2026-04-28,Delivered,5546,59,1897,9255,1048,Container
100881,500881,Bangalore,Hyderabad,2026-01-27,2026-02-04,Delivered,3978,34,1137,3317,1011,Van
100882,500882,Chennai,Lucknow,2025-03-22,2025-03-26,Delayed,748,17,535,2397,1070,Mini Truck
100883,500883,Bangalore,Bangalore,2025-12-04,2025-12-09,Delivered,1508,29,2524,20169,1097,Van
100884,500884,Delhi,Hyderabad,2025-10-16,,In Transit,9030,105,1704,11962,1097,Truck
100885,500885,Hyderabad,Lucknow,2025-06-02,,In Transit,4318,34,979,6481,1061,Mini Truck
100886,500886,Chennai,Kolkata,2026-04-25,2026-05-03,Delayed,3600,48,401,2867,1055,Container
100887,500887,Mumbai,Jaipur,2026-04-06,,In Transit,416,8,1584,8991,1017,Van
100888,500888,Pune,Delhi,2026-05-27,2026-06-02,Delayed,4224,48,973,4710,1097,Container
100889,500889,Pune,Lucknow,2025-11-03,2025-11-04,Delivered,4004,77,181,605,1043,Container
100890,500890,Hyderabad,Bangalore,2026-02-05,2026-02-12,Delivered,1392,29,1994,8591,1058,Van
100891,500891,Delhi,Pune,2025-04-17,2025-04-20,Delivered,873,9,2521,6674,1026,Truck
100892,500892,Hyderabad,Hyderabad,2025-07-30,2025-08-08,Delivered,546,13,1912,8656,1002,Mini Truck
100893,500893,Bangalore,Ahmedabad,2026-02-05,2026-02-07,Delivered,1848,21,2247,11527,1009,Container
100894,500894,Mumbai,Pune,2025-07-30,2025-08-07,Delivered,2700,25,2522,19332,1076,Mini Truck
100895,500895,Chennai,Jaipur,2025-10-10,2025-10-13,Delivered,8680,62,312,1465,1032,Van
100896,500896,Chennai,Jaipur,2026-04-17,2026-04-18,Delivered,7029,99,423,2561,1059,Van
100897,500897,Pune,Hyderabad,2026-02-05,2026-02-08,Delivered,3306,58,1070,7971,1094,Container
100898,500898,Hyderabad,Ahmedabad,2025-07-07,2025-07-09,Delivered,3575,55,228,1680,1021,Van
100899,500899,Pune,Lucknow,2025-10-26,2025-10-28,Delivered,9212,94,939,4471,1098,Truck
100900,500900,Bangalore,Mumbai,2025-04-18,2025-04-24,Delivered,3192,57,1897,7379,1065,Truck
100901,500901,Hyderabad,Delhi,2025-03-16,2025-03-24,Delivered,6890,53,1457,6842,1025,Container
100902,500902,Delhi,Delhi,2025-09-14,2025-09-17,Delivered,5980,46,2795,14124,1060,Truck
100903,500903,Delhi,Lucknow,2025-09-06,2025-09-14,Delivered,3080,22,1978,7981,1021,Mini Truck
100904,500904,Delhi,Kolkata,2025-04-13,2025-04-15,Delivered,4088,73,1650,4829,1098,Truck
100905,500905,Pune,Hyderabad,2025-06-07,2025-06-10,Delivered,3872,32,191,1036,1057,Truck
100906,500906,Pune,Lucknow,2025-04-16,2025-04-21,Delivered,6771,61,264,666,1099,Container
100907,500907,Mumbai,Bangalore,2026-01-19,,In Transit,1110,30,424,2043,1002,Van
100908,500908,Mumbai,Mumbai,2025-08-14,,Cancelled,952,17,2770,17955,1006,Container
100909,500909,Chennai,Mumbai,2025-12-01,2025-12-05,Delivered,8736,84,898,4196,1055,Truck
100910,500910,Mumbai,Bangalore,2025-04-19,2025-04-22,Delivered,708,6,1697,7194,1050,Mini Truck
100911,500911,Hyderabad,Bangalore,2025-03-09,2025-03-14,Delivered,7216,88,2605,7142,1028,Container
100912,500912,Bangalore,Kolkata,2026-05-27,,Cancelled,2448,18,2246,17851,1073,Mini Truck
100913,500913,Bangalore,Mumbai,2025-11-29,,Cancelled,11374,94,1641,12447,1099,Mini Truck
100914,500914,Bangalore,Pune,2025-11-22,,Cancelled,3870,90,2024,8790,1078,Container
100915,500915,Hyderabad,Lucknow,2025-08-27,2025-08-28,Delivered,3842,34,136,907,1016,Van
100916,500916,Mumbai,Ahmedabad,2025-09-07,2025-09-08,Delivered,2156,22,1584,6544,1020,Container
100917,500917,Mumbai,Delhi,2025-09-01,,In Transit,10449,81,1867,13676,1018,Van
100918,500918,Bangalore,Delhi,2026-06-18,2026-06-25,Delayed,11397,87,1231,3237,1094,Van
100919,500919,Bangalore,Bangalore,2025-07-30,2025-08-03,Delivered,11984,107,961,7015,1067,Van
100920,500920,Mumbai,Jaipur,2025-01-07,2025-01-15,Delivered,533,13,838,5018,1019,Mini Truck
100921,500921,Mumbai,Mumbai,2025-06-27,2025-07-01,Delivered,1575,35,2128,10308,1060,Van
100922,500922,Mumbai,Bangalore,2025-09-08,2025-09-18,Delivered,2556,36,1291,7320,1082,Mini Truck
